train_acc,train_loss,valid_acc,valid_loss
94.16,0.2898623616963625,97.04,0.1523658381909132
97.295,0.1221091764330864,97.43,0.10079133676290512
97.6,0.088992928250134,97.805,0.08068473968207836
97.845,0.07481388697177171,97.945,0.06841124614439904
98.045,0.06532727458961309,98.025,0.06193303560242057
98.05,0.060425241041556,98.2,0.05754397848863155
98.25,0.05590230196323246,98.205,0.055622084717079995
98.115,0.05467518908753991,98.345,0.05022539161872119
98.255,0.05222390694245696,98.32,0.05000934615824371
98.265,0.05006367715699598,98.445,0.04617014031009749
98.425,0.04676001496855169,98.535,0.044564169036317616
98.515,0.04485113927093334,98.47,0.04433717877632007
98.415,0.04427671659393236,98.65,0.04148886232394725
98.585,0.042015097329067067,98.615,0.04093332394612953
98.565,0.04159297328186221,98.52,0.04285092109208927
