train_acc,train_loss,valid_acc,valid_loss
98.225,0.05694637578886468,98.645,0.044047893444262444
99.16,0.023296132065501296,99.675,0.011565327383769908
99.365,0.018464016317328788,99.73,0.011606238783942536
99.495,0.01748867779536813,99.755,0.008213203799672192
99.595,0.011839507939504619,99.655,0.009702402066949799
99.585,0.01168653393929817,99.05,0.02616462505441523
99.585,0.012147467994188263,99.38,0.018349089925309817
99.625,0.010722362282337144,99.745,0.007503105281603348
99.625,0.010684771875858905,99.835,0.0053201351613714
99.7,0.008611504763874473,99.63,0.012680367851882283
99.685,0.0095496565002828,99.83,0.005511003886307481
99.765,0.007121627714542905,98.93,0.030971827530976954
99.675,0.008471473697736815,99.82,0.005760542634650733
99.665,0.010396427291557405,99.88,0.004968597433579635
99.76,0.007253960873463387,99.775,0.0066235271554659445
