train_acc,train_loss,valid_acc,valid_loss
93.465,0.26810642120838163,96.91,0.1393973641782999
96.835,0.11597372390776872,97.265,0.09646318722069264
97.46,0.08781529139503837,97.555,0.08045101027488709
97.74,0.07297938316166401,97.86,0.07105635159052909
97.725,0.06747949195988476,97.775,0.06680486272946
97.86,0.06405555846672505,97.97,0.06301547105405479
97.9,0.06116323272772133,98.105,0.0555493439655751
98.175,0.05642734510796145,98.205,0.05394784210268408
98.115,0.05524043863900006,98.11,0.055794020168296994
98.06,0.05515102381967008,98.215,0.05233420214196667
98.31,0.05033731145504862,98.245,0.05218763789841905
98.37,0.05037106905765831,98.32,0.048607719185110185
98.315,0.049770070849824696,98.17,0.050938146884925664
98.325,0.046960598461562766,98.29,0.04737917686565779
98.36,0.04669797261953354,98.44,0.04506203048732132
