train_acc,train_loss,valid_acc,valid_loss
98.095,0.05678592984040733,99.195,0.0253263185352087
99.02,0.027659403468103846,99.32,0.02331500068916939
99.39,0.01770973516170052,99.685,0.011686947846885596
99.6,0.012193590324101387,99.43,0.016603307567029695
99.495,0.01677739902714966,99.58,0.013172192700167944
99.51,0.013626916524014451,99.735,0.009670813382253982
99.565,0.01310513485172196,99.86,0.004287843385304586
99.67,0.010277529032704479,99.725,0.009387733120452322
99.655,0.010232557692436967,99.37,0.020982865969251
99.775,0.007885864512509852,99.84,0.0050791633945922515
99.745,0.008162168716635096,99.76,0.007054012935358515
99.755,0.008161267569410848,99.785,0.00616949554566072
99.71,0.009362759697197999,99.845,0.004573198488445268
99.75,0.00707722402249774,99.79,0.007452075910883218
99.865,0.004664034778923567,99.69,0.00808424499796806
