train_acc,train_loss,valid_acc,valid_loss
32.382912404092075,1.9620262622223485,39.73925159235669,1.7813935469669901
42.0696131713555,1.7098834895721786,43.730095541401276,1.6570532306744035
44.794996803069054,1.6234668648761252,45.65087579617835,1.5947495258537827
46.50735294117647,1.567936306414397,46.944665605095544,1.5518418110100327
47.58631713554987,1.5292185392526105,47.65127388535032,1.5237530014317506
48.559382992327365,1.5016142543014663,48.09912420382165,1.5045762927668869
49.36860613810742,1.4795746478583196,49.014729299363054,1.4874656382639697
49.91807864450128,1.4572869562127095,48.79578025477707,1.4739989604160284
50.02197890025575,1.4466155229322135,49.233678343949045,1.4638709034889368
50.51550511508952,1.430281206622453,49.373009554140125,1.4545189825592526
51.22682225063939,1.4166995742741753,49.791003184713375,1.445710000718475
51.74632352941177,1.406563039021114,49.791003184713375,1.4387639821714657
51.75631393861892,1.4003145589547998,49.8109076433121,1.433741180000791
52.11796675191816,1.3964091560724752,49.83081210191083,1.4303048226484067
51.98209718670077,1.3883901372590028,50.378184713375795,1.42488291309138
