train_acc,train_loss,valid_acc,valid_loss
30.44277493606138,2.0306871161436484,38.92316878980892,1.8257952169248253
38.367167519181585,1.8151085509363647,42.63535031847134,1.697853529529207
40.89474104859335,1.7288307344822018,44.23765923566879,1.633150582100935
42.47322570332481,1.674026580570299,45.630971337579616,1.5882509422909683
43.574168797953966,1.6372778840991846,46.18829617834395,1.5581978939141437
44.50727301790281,1.6120956877003545,47.04418789808917,1.535145003324861
45.190617007672635,1.5918422746841254,47.6015127388535,1.5148166668642857
45.9758631713555,1.5724175764471673,48.288216560509554,1.5017013701663655
46.03580562659847,1.5625688759872065,48.66640127388535,1.4867903669928288
46.85701726342711,1.5442520476058317,48.96496815286624,1.4771798446679572
47.060821611253196,1.5359754076089396,49.11425159235669,1.468733151247547
47.57233056265984,1.521901065583729,49.44267515923567,1.4606276515183176
47.66624040920716,1.5128401133715343,49.57205414012739,1.451034487432735
47.92798913043478,1.5058656321157275,49.75119426751592,1.4422886614586896
47.59630754475703,1.5065590638638762,49.94028662420382,1.440326386196598
